thematic;card;id;bearer;conditions;lockturn;weight;question;override_yes;answer_yes;yes_spiritual;yes_military;yes_demography;yes_treasure;yes_custom;override_no;answer_no;no_spiritual;no_military;no_demography;no_treasure;no_custom;vide
conspiracy;_;61;spy;;;;And <executioner>, the executioner.;I could use that...;;-10?;;;;;I really don't want to know...;;15?;;;;;
conspiracy;conspiracy1;62;spy;has_general;40;10;<general> is a salmon swimming upstream.;If you say so...;;;-5;;;;Never mind...;;;10;;;;
conspiracy;traitor;63;spy;nb_murder>0 and has_queen;40;10;The cat is out, the cat is on the hunt.;The cat?;;;5;5;;>;Oh for God's...;;-10?;;-5?;;;
conspiracy;_traitor_clue;64;spy;;;;The cat's meow is not cheap.;;;;;;-20;>;;;;-10?;;;;
conspiracy;_;65;spy;;;;The cat is in your bed and he wants to kill you.;I...;;;5?;;;!nb_murder;You're insane...;;;-5?;5?;;!nb_murder;
conspiracy;assasin1;66;general;!nb_murder and military>60;300;10;We discovered an unknown body in the dungeon. Its hands are missing. Shall we reinforce the garrison?;;;;10;;;nb_murder+;They're useless...;;;-5?;;;nb_murder+ and >>assasin2;
;;67;monk;nb_murder>0 and has_general;100;10;I know the killer of the dungeon! It's the wicked executioner!;I believe you;;10?;-5?;;;>;I don't believe you;;-10?;5;;;>;
;_;68;executioner;;;;Me? Violence is my job, not my hobby. I prefer to grow vegetables and study nature's beauty.;I believe you;;-5?;;10;;>;I don't believe you;;10?;;-5;;>>>>assasin2;
;_;69;diplomat;;;;Who is the murderer then?;I know;;;;;;>_whois;I don't know;;;;;;;
;_whois;70;jester;has_priest;10;100;The priest?;;;-20?;2?;2?;2?;del_priest and >>>assasin2;;;;;;;>_whois;
;_whois;71;diplomat;has_doctor;10;100;The doctor?;;;2?;2?;-20?;2?;del_doctor and >>>assasin2;;;;;;;>_whois;
;_whois;72;priest;has_general;10;100;The general?;;<i><general> confessed he ordered the murders to impose his power in the Kingdom.</i>;8?;-20?;8?;8?;!nb_murder and del_general;;;;;;;>_whois;
;_whois;73;farmer;has_merchant;10;100;The merchant?;;;2?;2?;2?;-20?;;;;;;;;>_whois;
;_whois;74;diplomat;;;1;You don't really know, do you?;Later;;-5?;5?;-5?;-5?;;;;-5?;5?;-5?;-5?;;
conspiracy;assasin2;75;general;nb_murder>0;6;20;We discovered another body in the dungeon. People are getting nervous and ask for more security.;;;;15;;-5;nb_murder+;;;;;-10;;nb_murder+;
conspiracy;assasin3;76;monk;nb_murder>1 and has_queen;reign;8;The Queen is dead my Lord, we also found her in the dungeon.;We need more security;;;20;;-10?;del_queen;Noooo!;;;-10;5;;del_queen;
conspiracy;;77;diplomat;conspiracy_keep;200;20;Please follow me my Lord, <i>(upset)</i> something terrible has happened.;;<i>You follow <diplomat> outside the castle. But suddenly your body becomes limp and the world spins, spins so fast.</i>;-100?;-100?;-100?;-100?;> and add_lady;;;;;;;;
conspiracy;_;78;diplomat>dark;;;;Are you awake little king? <i>(a blindfold blocks your vision and your hands are tied)</i>;;;;;;;>;;;;;;;>;
conspiracy;_;79;diplomat>dark;;;;Good, now listen carefully. I am called the Senator and I...;;<i>You hear a loud noise, someone pulls you up and shouts</i> RUN NOW;;;;;>_madrun and nb_madrun+++;<i>Don't say anything</i>;<i>You hear a loud noise, someone pulls you up and shouts</i> RUN NOW;;;;;>_madrun and nb_madrun+++;
conspiracy;_madrun;80;diplomat>dark;;3;10;<i>You run madly in the dark.</i>;<i>Run left</i>;;;;;;>_madrun;<i>Run right</i>;;;;;;>_madrun;
conspiracy;_madrun;81;lady>dark;;3;10;This way! This way!;<i>Follow the voice</i>;;;;;;>_madrun and nb_madrun-;<i>Run right</i>;;;;;;>_madrun and nb_madrun+;
conspiracy;_madrun;82;diplomat>dark;;3;10;<i>You're running over grass. Hopefully there are no trees around.</i>;<i>Run left</i>;;;;;;>_madrun;<i>Run right</i>;;;;;;>_madrun;
conspiracy;_madrun;83;lady>dark;;3;10;Not that way! Go on the right!;<i>Run left</i>;;;;;;>_madrun;<i>Run right</i>;;;;;;>_madrun and nb_madrun-;
conspiracy;_madrun;84;diplomat>dark;;3;10;<i>You hear water flowing in the distance.</i>;<i>Carry on</i>;;;;;;>_madrun and nb_madrun+;<i>Run right</i>;;;;;;>_madrun;
conspiracy;_madrun;85;diplomat>dark;;3;10;<i>It seems there's a river close by.</i>;<i>Run left</i>;;;;;;>_madrun and nb_madrun-;<i>Carry on</i>;;;;;;>_madrun and nb_madrun+;
conspiracy;_madrun;86;diplomat>dark;;3;10;<i>You hear people shouting to your left.</i>;<i>Run left</i>;;;;;;>_madrun and nb_madrun+;<i>Run right</i>;;;;;;>_madrun;
conspiracy;_madrun;87;end>dead_king_drown;nb_madrun>4;3;40;<i>You fall into cold water violently. Panicked, you try to escape the tide, in vain.</i>;;;;;;;;;;;;;;;
conspiracy;_madrun;88;lady>dark;!nb_madrun;3;40;Here! You can stop now!;<i>Stop</i>;;;;;;>;<i>Carry on</i>;;;;;;>_madrun and nb_madrun++++;
conspiracy;_;89;lady;;;;It is me, <lady>. Shussh, they're coming.;<i>Look behind</i>;<i>You're lying behind a large tree stump. Men with torches pass by without noticing you.</i>;;;;;>;<i>Don't move</i>;<i><lady> is dishevelled and panting. You hear people running by, but no one stops.</i>;;;;;>;
conspiracy;_;90;lady;;;;We're safe my Lord. We should go back to the castle.;Thank you;;;;;;>;What happened?;;;;;;>;
conspiracy;_;91;lady;;;;I followed you on your way out of the castle, saw what <diplomat> did to you.;You were so courageous;;50;50;50;50;del_diplomat and isLover and >>>>_senatorrevealed;Thank you;;50;50;50;50;del_diplomat and >;
conspiracy;_;92;lady;;;;Don't thank me. I would have done anything for you.;<i>Take her in you arms</i>;;;;;;isLover and >>>>_senatorrevealed;Again, thank you;;;;;;isLover and >>>>_senatorrevealed;
conspiracy;_senatorrevealed;93;lady;;;;My Lord, three years have passed since our little adventure. And still we don't have much time.;;;;;;;>;;;;;;;;
conspiracy;_;94;lady;;;;You can't say 'no' to me, one of the effects of the love curse you're under.;;;;;;;>;;;;;;;;
conspiracy;_;95;lady;;;;You know it has nothing to do with love? I'm sorry but I needed you to listen, and understand.;;;;;;;>;;;;;;;;
conspiracy;_;96;lady;;;;This curse, and everything that's happening to you is a masquerade organized by the devil.;;;;;;;>;;;;;;;;
conspiracy;_;97;lady;;;;I am the one you call the Senator.;;;;;;;>;;;;;;;;
conspiracy;_;98;lady;;;;I spent years scheming just to be able to talk to you now, while the devil is busy correcting the mess I made.;;;;;;;>;;;;;;;;
conspiracy;_;99;lady;;;;Listen carefully. There is only one way for you to trick the devil.;;;;;;;>;;;;;;;;
conspiracy;_;100;lady;;;;Make him fulfil an impossible task. Something that cannot happen however hard he tries.;;;;;;;>;;;;;;;;
conspiracy;_;101;lady;;;;I have to go <i>(shushing you)</i>. We will pretend this talk never happened. ;;;;;;;!isLover and !conspiracy_keep and isSenator;;;;;;;!isLover and !conspiracy_keep and isSenator;
crusade;rabbit;102;priest;demography>50 and !crusade_keep;100;10;Your peasants are breeding like rabbits, the Kingdom is infested by poverty. Please consider the problem.;;;15?;;;;add_monk and >_crusade;;;;;5?;;;
crusade;_crusade;103;monk;;;;We should send all the males on a Holy crusade to the Far-East. Let them die for the Holy Grail!;;;10;20?;-30;-15;crusade_keep and !spice_trade_keep;;;-20?;;5?;;;
crusade;crusade_alt;104;merchant;money<50 and !crusade_keep;100;10;My Lord, our commercial relations with the East are deteriorating quickly. They're far richer than we are!;What are the options?;;;;;;>;I don't want to hear about that;;;;;-15;;
crusade;_crusade_alt;105;merchant;;;;What about a good crusade?;Sounds good;;10;20?;-30;-15;crusade_keep and !spice_trade_keep;;;-20?;;5?;;;
crusade;saintgraal;106;general;crusade_keep;60;15;We are going to need more gold to destroy all the impious my King!;;;5;10?;;-20;;;;-15;-20?;;;;
crusade;saintgraal1;107;general;crusade_keep;60;15;Should we burn Lamascus and kill all the population?;;;10?;5?;-10?;-5;;;;-5;-10;;;;
crusade;saintgraal2;108;monk;crusade_keep;60;15;Do you give approval to erect a basilica in Lamascus?;;;25?;;5;-25;;;;-10?;;;;;
crusade;saintgraal3;109;priest;crusade_keep;60;15;God told me that we should find the Holy Grail at any cost!;;;20;;-5;-20;;;;-10?;;10;;;
crusade;;110;homunculus;hopen_keep and crusade_keep and !strawberry_keep;80;20;Here in Lamascus lies the most well kept secret in the world.;I knew we had a good reason to come;;;;;;>;I'm not interested;;;;;;;
;_;111;homunculus;;;;I must say, all the crusade business was a bit over-kill, but since we're in the right place...;;;;;;;>_trackpledge;Well;;;;;;>_trackpledge;
;_trackpledge;112;homunculus;;;;Because you gave me the Frozen Blood, I give you...;The Grail?;;;;;;>;The Meaning of Life?;;;;;;>;
;_;113;homunculus;;;;No, not exactly.;I knew it didn't exist;;;;;;>;What then?;;;;;;>;
;_;114;homunculus;;;;I give you life.;What?;<i>The homunculus brings you to a strange machine full of wires and knobs, hidden under the palace of Lamascus.</i>;;;;;>;What?;<i>The homunculus reveals the position of a strange machine full of wires and knobs, hidden under the palace of Lamascus.</i>;;;;;>;
;_;115;homunculus;;;;This apparatus created me. It can help you recover any living thing. Do you know what you want to recreate?;;;;;;;>_makelife;;;;;;;;
;_makelife;116;homunculus;niceskel_keep;;max;I'm listening.;A strawberry plant!;;;;;;strawberry_keep;<i>Stay silent</i>;;;;;;;
;_makelife;117;homunculus;;;10;No you don't. Look very hard for something you need and meet me again in Lamascus.;;;;;;;;;;;;;;;
crusade;saintgraal4;118;diplomat;crusade_keep;60;15;An envoy of the Sultan would like to meet you in Lamascus.;;;-10;-5;5;;> and add_foreign_princess;;;10;5;;;;
crusade;hostage;119;foreign_princess;crusade_keep;60;9;This crusade has to stop. Take the treasure if you will, but remove your armies. You're going nowhere.;;<i><foreign_princess> handed over the keys to Lamascus' treasure and whispered, looking straight at you:</i> Choke on it.;-5;-5;15;40;!crusade_keep and isPeaceful;;;20;;-5;-10?;;
crusade;end_crusade;120;diplomat;crusade_keep;70;10;This crusade lasted too long. We're losing, we have to retreat now!;;;-15;-5;5;;!crusade_keep and isPeaceful;;;5;5;-30?;-15?;;
crusade;intifada;121;general;crusade_keep;10;15;All the impious of the Universe want to see you dead! Should we continue our crusade?;;;15;5;-10;-10;add_foreign_princess;Ugh... no?;;-30;-10;25?;;!crusade_keep and isPeaceful;
crusade;;122;foreign_princess;!crusade_keep and has_doctor and has_priest;300;30;I would like to share with you some of the astronomical wonders my people discovered.;;;-5?;5?;5?;;> and add_doctor;;;5?;;-5?;;;
;_;123;doctor;;;;This is very interesting, perfectly in line with the discoveries of Master Argos of Merep...;I...;;-5?;5?;10?;;>;We should...;;;;;;>;
;_;124;priest;;;;Blasphemy! The only truth is that the sun turns around us, God's creation! Blasphemy!;;;25?;;-10;-5?;;;;-25?;;15?;5?;;
crusade;;125;foreign_princess;!crusade_keep;200;13;I'm willing to stay in your court in order to help the understanding between our people.;;;-10?;5;5?;10?;;;;15;;;;del_foreign_princess;
death and accidents;_end_fire;126;end>dead_king_fire;;;;<i>You're sentenced to be burnt alive. Your name is erased from books and buildings.</i>;;;;;;;;;;;;;;;
death and accidents;_end_prison;127;end>dead_king_dungeon;;;;<i>You will languish in prison until people forget you ever existed.</i>;;;;;;;;;;;;;;;
death and accidents;_end_bed;128;end>dead_king_classic;;;;<i>You die in your bed a couple of days later. Some people mourn you.</i>;;;;;;;;;;;;;;;
death and accidents;_end_grand;129;end>dead_king_grand;;;;<i>In the end, you die, mourned by all your subjects. Your name is praised, your tomb becomes a shrine. </i>;;;;;;;;;;;;;;;
death and accidents;_end_gangrene;130;end>dead_king_gangrene;;;100;<i>You die alone, rotting away in your bed.</i> ;;;;;;;;;;;;;;;
death and accidents;paganism;131;anyone;spiritual=0;;1000000;The people are rebelling against the last vestiges of the Church. You have to escape!;What...;;;;;;>_end_paganism;What...;;;;;;>_end_paganism;
buildings;_end_paganism;132;priest;cathedral_keep;6;max;The cathedral will protect us against the mob my Lord. Join us in our prayers.;;;40;;;-10;inquisition;;;;;;;>;
death and accidents;_end_paganism;133;end>dead_king_paganist;;;100;<i>A pagan mob murdered you during your escape attempt.</i>;;;;;;;;;;;;;;;
death and accidents;heavenonearth;134;priest;spiritual=100;;1000000;The Pope's armies are taking control of our Holy country. This is Heaven on Earth!;What...;;;;;;>_end_heavenonearth;What...;;;;;;>_end_heavenonearth;
death and accidents;_end_heavenonearth;135;dungeon>door_wall_dark;!intheDungeon;reign;400;<i>They want to kill you! You run panicking into the depth of the castle, discovering places you never knew before.</i>;<i>Explore further</i>;;;;;;>_dungeon1 and intheDungeon and !spice_trade_keep;<i>Turn around</i>;;;;;;>;
death and accidents;_end_heavenonearth;136;end>dead_king_tearappart;;;100;<i>The Church decided you would make a great martyr. They tore you limb from limb.</i>;;;;;;;;;;;;;;;
death and accidents;invasion;137;anyone;military=0;;1000000;Invading armies are at our door! The army is too weak to do anything.;What...;;;;;;>_end_invasion and !nb_war_keep and !warSouth_keep and !warWest_keep and !warEast_keep and !warIslander_keep and !warViking_keep;What...;;;;;;>_end_invasion and !nb_war_keep and !warSouth_keep and !warWest_keep and !warEast_keep and !warIslander_keep and !warViking_keep;
buildings;_end_invasion;138;general;fortification_keep;6;max;The fortifications are repelling the enemy! They're gone, but we need to rally the population to repair the gates.;;;;40;-15;;;;;;20;;;!fortification_keep;
death and accidents;_end_invasion;139;end>dead_king_overdose;has_rival;;max;<i>You're poisoned by <rival>, your treacherous brother-in-law, who was working for the invaders all this time.</i>;;;;;;;;;;;;;;;
death and accidents;_end_invasion;140;end>dead_king_army;;;100;<i>You lead the last remnants of your army and die on the steps of the throne.</i>;;;;;;;;;;;;;;;
death and accidents;coup;141;general;military=100;;1000000;This is a coup! Surrender your power to me at once!;What...;;;;;;>_end_coup;What...;;;;;;>_end_coup;
;_end_coup;142;end>dead_king_hang;has_prince;;max;<i><general> is quickly overthrown by <prince> who, even more quickly, hangs you. Your own son.</i>;;;;;;;;;;;;;;;
;_end_coup;143;end>dead_king_decapitation;nb_murder>0;;max;<i>You're the final victim of the mysterious murderer of the dungeon.</i>;;;;;;;;;;;;;;;
death and accidents;_end_coup;144;end>dead_king_dungeon;;;100;<i>The army locks you up in the tallest tower of the castle where you will decay to rags and bones.</i>;;;;;;;;;;;;;;;
death and accidents;nodemo;145;anyone;demography=0;;1000000;Your people are famished and unrest is spreading.;What...;;;;;;>_end_nodemo;What...;;;;;;>_end_nodemo;
death and accidents;_end_nodemo;146;end>dead_king_gangrene;plague;6;max;<i>The plague has finally entered the castle where it is quite effective at wiping out a large part of the court, you included.</i>;;;;;;;;;;;;;;;
buildings;_end_nodemo;147;farmer;barn_keep;6;max;The barn will provide food! Please bring reinforcements or we will be overwhelmed by the most desperate!;;;;-15;40;;;;;;;20;;!barn_keep;
death and accidents;_end_nodemo;148;end>dead_king_torture;treasure>80;;max;<i>You're horribly tortured by the mob to reveal where you hide the treasure.</i>;;;;;;;;;;;;;;;
death and accidents;_end_nodemo;149;end>dead_king_bird;;;100;<i>The castle is ransacked, your court disperses and you're left with pigeons to rule over.</i>;;;;;;;;;;;;;;;
death and accidents;nocontrol;150;anyone;demography=100;;1000000;It's anarchy in the streets my Lord! A large mob is breaking into the castle!;What...;;;;;;>_end_nocontrol;What...;;;;;;>_end_nocontrol;
death and accidents;_end_nocontrol;151;nun;school_keep;30;400;Let me handle this. Most of the leaders have been through my school.;;<i><nun> chastises the leaders of the mob vehemently, emphasizing their lack of manners. Strangely, it works.</i>;;;-40;;;;;;;;;>;
death and accidents;_end_nocontrol;152;end>dead_king_classic;overall>40;;500;<i>Your reign ends there but no one harms you. You die many years later praised and well remembered.</i>;;;;;;;;;;;;;;;
death and accidents;_end_nocontrol;153;end>dead_king_window;;;100;<i>The mob is increasingly violent and has set fire to your apartments. You die jumping from the window.</i>;;;;;;;;;;;;;;;
entertainment;_end_nocontrol;154;jester;reddwarf_keep;;400;I can get us out of the castle safely, but of course we will have to play Red Dwarf for it!;You're nuts;;;;;;>_reddwarf_fall_death;;;;;;;!reddwarf_keep and >_end_nocontrol;
entertainment;_reddwarf_fall_death;155;jester>throw;;;;A royal head is at stake! Are you happy with that throw?;;<i><jester> slowly lifts the goblet, revealing two dice...</i>;;;;;>_playDeath;Re-roll;;;;;;>_reddwarf_fall_death;
entertainment;_playDeath;156;jester>won;;;10;Even! You won my Lord, you will live!;Thank you!;;;;-40;;;Not nuts, totally insane;;;;-40;;;
entertainment;_playDeath;157;jester>lost;!dice_keep;;10;Odd! I won and so we die. Let's carry on our game in hell.;Not nuts, insane;;;;;;!reddwarf_keep and >_end_nocontrol;No!;;;;;;;
death and accidents;toorich;158;anyone;treasure=100;;1000000;Your country is so rich! We're throwing a party to celebrate with the most expensive food money can buy!;What...;;;;;;>_end_toorich and isFat;What...;;;;;;>_end_toorich;
;_end_toorich;159;end>dead_king_love_machine;isLover;;1000;<i>You die in your bed from an embarrassing heart attack.</i>;;;;;;;;;;;;;;;
